SKU,post_status,post_title,post_content ,post_excerpt,category,regular_price,visibility,featured_image
KC42822CB,publish,Hanging Jewelry Organizer   -Wb,"Price: $2.75, Case  qty: 24, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.75,general merchandise,2.75,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC42823,publish,Digital Money Jar,"Price: $3.00, Case  qty: 24, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.00,general merchandise,3.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC42827,publish,French Press Coffee & Tea Maker,"Price: $4.00, Case  qty: 12, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $4.00,general merchandise,4.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC42988,publish,Iphone 4 Cert. Lightning Charge-Pin,"Price: $0.55, Case  qty: 48, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.55,small tools & hardware,0.55,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC42989,publish,Iphone 4 Cert. Lightning Charge-Vil,"Price: $0.55, Case  qty: 48, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.55,small tools & hardware,0.55,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC42990,publish,Iphone 4 Cert Lightning Charge-Blue,"Price: $0.55, Case  qty: 48, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.55,small tools & hardware,0.55,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC42994,publish,12pc Make Up Brush Set -Sp,"Price: $5.00, Case  qty: 36, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $5.00,general merchandise,5.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC42995,publish,Iphone 4 Cert. Lightning Charge-W,"Price: $0.55, Case  qty: 48, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.55,small tools & hardware,0.55,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC42996,publish,Iphone 5 Cert. Lightning Charge-W,"Price: $0.75, Case  qty: 48, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.75,small tools & hardware,0.75,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC43001,publish,Hanging Shoe Organizer,"Price: $3.00, Case  qty: 24, UPC: 853371430019<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.00,general merchandise,3.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC43002B,publish,Hanging Shoe Organizer,"Price: $3.00, Case  qty: 24, UPC: 853371430026<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.00,general merchandise,3.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC43008,publish,16pc Plastic Food Storage Set  -Wb,"Price: $6.00, Case  qty: 12, UPC: 853371430088<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $6.00,general merchandise,6.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC43009,publish,Bake Set   -Sp,"Price: $8.50, Case  qty: 4, UPC: 853371430095<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $8.50,general merchandise,8.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC43011,publish,Knee Support    - Sp,"Price: $3.00, Case  qty: 48, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.00,general merchandise,3.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC43021,publish,Face & Body Polish,"Price: $7.50, Case  qty: 12, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $7.50,general merchandise,7.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC43024C,publish,Toilet Brush Holder W/Brush -Sp,"Price: $2.50, Case  qty: 24, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.50,general merchandise,2.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC43025,publish,Sticky Lint Roller Set   -Sp,"Price: $4.00, Case  qty: 12, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $4.00,general merchandise,4.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC50007,publish,Push Up Bars -Wbw  -Sp,"Price: $3.50, Case  qty: 12, UPC: 853371500071<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.50,general merchandise,3.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC60057,publish,Air Cooler Mist,"Price: $2.75, Case  qty: 48, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.75,general merchandise,2.75,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC62208,publish,Salad Dressing Mixer,"Price: $1.75, Case  qty: 48, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $1.75,general merchandise,1.75,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC68007,publish,Chop And Grate Set #Kc68007-0,"Price: $5.00, Case  qty: 12, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $5.00,general merchandise,5.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC68009,publish,Picture Hanger & Level,"Price: $1.00, Case  qty: 24, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $1.00,small tools & hardware->home,1.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC68034,publish,Deluxe Cheese Grater #Kc68034 Yell,"Price: $2.00, Case  qty: 24, UPC: 853371680346<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.00,general merchandise,2.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC68052,publish,Deluxe Wooden Trio Photo Frame -Sp,"Price: $3.00, Case  qty: 12, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.00,general merchandise,3.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC68054,publish,Wooden Jewelry Box,"Price: $4.00, Case  qty: 12, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $4.00,general merchandise,4.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC68056B,publish,Wooden Jewelry Box,"Price: $4.00, Case  qty: 12, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $4.00,general merchandise,4.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC68129,publish,Pick Up Tool #85337168129-9,"Price: $0.55, Case  qty: 48, UPC: 853371681299<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.55,small tools & hardware,0.55,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC68151,publish,Swivel Bed Tray,"Price: $6.00, Case  qty: 6, UPC: 853371681510<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $6.00,general merchandise,6.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC68160,publish,Labtop Desk     -Sp,"Price: $8.00, Case  qty: 6, UPC: 853371681602<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $8.00,general merchandise,8.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC68161,publish,Rotating Photo Cube    -Sp,"Price: $2.50, Case  qty: 12, UPC: 853371681619<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.50,general merchandise,2.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC68169B,publish,Magic Revolving Globe -Blue,"Price: $4.00, Case  qty: 12, UPC: 853371681695<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $4.00,general merchandise,4.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC69001,publish,24pc Food Storage Set  Kw      -Sp,"Price: $2.95, Case  qty: 12, UPC: 853371690017<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.95,general merchandise,2.95,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC69004,publish,52pc Food Storage Set C  Wb  -Sp,"Price: $5.00, Case  qty: 12, UPC: 853371690048<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $5.00,general merchandise,5.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC69005,publish,54pc Food Storage Set  Wbw -Sp,"Price: $5.00, Case  qty: 12, UPC: 853371690055<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $5.00,general merchandise,5.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC69019,publish,Outdoor Food & Beverage Set  Wb,"Price: $6.00, Case  qty: 6, UPC: 853371690192<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $6.00,general merchandise,6.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC69064,publish,120pc Food Storage Set - Wbw,"Price: $7.00, Case  qty: 6, UPC: 853371690642<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $7.00,general merchandise,7.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC69065,publish,38pc Food Storage Set Wbw,"Price: $5.50, Case  qty: 12, UPC: 853371690659<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $5.50,general merchandise,5.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC69082,publish,Wine Tools In The Barrel     -Sp,"Price: $5.00, Case  qty: 12, UPC: 853371690826<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $5.00,general merchandise,5.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC69084,publish,Multi Purpose Frother,"Price: $2.95, Case  qty: 36, UPC: 853371690840<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.95,general merchandise,2.95,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC69085,publish,3pc Bamboo Cutting Board,"Price: $5.00, Case  qty: 6, UPC: 853371690857<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $5.00,general merchandise,5.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC69086,publish,Bamboo Cutting Board Set,"Price: $5.00, Case  qty: 6, UPC: 853371690854<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $5.00,general merchandise,5.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC69087,publish,Bamboo Cutting Board Set,"Price: $5.00, Case  qty: 6, UPC: 853371690871<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $5.00,general merchandise,5.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC69088,publish,Wine Tool Set      -Sp,"Price: $11.00, Case  qty: 12, UPC: 853371690888<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $11.00,general merchandise,11.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC69090,publish,Wine Opener #Kc69090    -Sp,"Price: $9.00, Case  qty: 12, UPC: 853371690901<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $9.00,general merchandise,9.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC70053,publish,Folding Storage,"Price: $8.00, Case  qty: 12, UPC: 853371700532<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $8.00,general merchandise,8.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC70055,publish,Foldable Laundry Hamper-Silver,"Price: $2.95, Case  qty: 60, UPC: 853371700556<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.95,general merchandise,2.95,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC70056,publish,Foldable Laundry Hamper -Blk   -Sp,"Price: $2.95, Case  qty: 60, UPC: 853371700563<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.95,general merchandise,2.95,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC88005,publish,Micro Bead Pillow,"Price: $6.00, Case  qty: 8, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $6.00,general merchandise,6.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC90020,publish,Bookmark Light                  -S,"Price: $2.00, Case  qty: 48, UPC: 853371900208<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.00,flashlights,2.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC90087,publish,USB Powered Mini Digital Speaker,"Price: $3.50, Case  qty: 24, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.50,general merchandise,3.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC90129,publish,Electronic Kitchen Scale #Kc90129 Sp,"Price: $6.50, Case  qty: 12, UPC: 853371901298<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $6.50,general merchandise,6.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC91088L,publish,24LED Worklight   -Ch,"Price: $3.00, Case  qty: 48, UPC: 853371910887<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.00,flashlights,3.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC91089,publish,Multi Tool LED Flashlight       Wbw,"Price: $3.50, Case  qty: 48, UPC: 853371910894<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.50,flashlights,3.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC91092,publish,24 LED Camping Lantern #853371910924,"Price: $4.00, Case  qty: 12, UPC: 853371910924<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $4.00,flashlights,4.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC91093,publish,30 LED Swivel Light     -Sp,"Price: $5.00, Case  qty: 12, UPC: 853371910931<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $5.00,flashlights,5.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC91097B,publish,2pk Barrel Light,"Price: $1.50, Case  qty: 24, UPC: 853371910979<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $1.50,flashlights,1.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC91104B,publish,9LED Flashlight - Black,"Price: $0.65, Case  qty: 144, UPC: 853371911044<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.65,flashlights,0.65,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC91105B,publish,9LED Flashlight - Silver,"Price: $0.65, Case  qty: 144, UPC: 853371911051<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.65,flashlights,0.65,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC91106B,publish,9LED Flash Light - Red,"Price: $0.65, Case  qty: 144, UPC: 853371911068<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.65,flashlights,0.65,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC91107B,publish,9LED Flashlight - Blue,"Price: $0.65, Case  qty: 144, UPC: 853371911075<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.65,flashlights,0.65,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC91109,publish,30+7 LED Work Light,"Price: $3.50, Case  qty: 24, UPC: 853371911099<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.50,flashlights,3.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC92116B,publish,Super Bright LED Lantern,"Price: $3.95, Case  qty: 12, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.95,flashlights,3.95,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC92191,publish,36 LED Light W/5 LED Flashlight Wb,"Price: $4.00, Case  qty: 12, UPC: 853371921913<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $4.00,flashlights,4.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC92192,publish,28LED Work Light W/4 LED Flashligh,"Price: $2.50, Case  qty: 12, UPC: 853371921920<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.50,flashlights,2.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC92193,publish,60 LED Work Light W/4 LED Flashligh,"Price: $3.50, Case  qty: 12, UPC: 853371921937<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.50,flashlights,3.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC92194,publish,Power 3W Adj. Focus LED Flash  Wb,"Price: $3.50, Case  qty: 0, UPC: 853371921944<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.50,flashlights,3.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC92196,publish,3W Bulb Hd Super Bright Flashlight,"Price: $3.50, Case  qty: 12, UPC: 853371921968<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.50,flashlights,3.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC92222-B5,publish,3pc Emergency Combo Pack,"Price: $4.00, Case  qty: 12, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $4.00,flashlights,4.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC92225,publish,5 LED Orchid Light #Kc92225     -Sp,"Price: $5.75, Case  qty: 12, UPC: 85337192225<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $5.75,flashlights,5.75,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KC98162B,publish,Magic Revolving Globe,"Price: $3.50, Case  qty: 12, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.50,general merchandise,3.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KCIP90017,publish,Fm Transmitter,"Price: $1.00, Case  qty: 48, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $1.00,small tools & hardware,1.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
KCIP90023,publish,Universal Charger,"Price: $1.00, Case  qty: 48, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $1.00,small tools & hardware,1.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
LB112,publish,Level Block 1.5T X 1.5M #10998,"Price: $50.00, Case  qty: 1, UPC: 643117109985<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $50.00,home & auto tools->home,50.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
LB150,publish,Light Bulb 500 W Halogen #57250,"Price: $0.35, Case  qty: 500, UPC: 643117572505<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.35,small tools & hardware,0.35,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
LB34,publish,Level Block 0.75Tx1.5M #10069,"Price: $45.00, Case  qty: 1, UPC: 643117100692<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $45.00,home & auto tools->home,45.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
LB6T,publish,C7 5W Light Bulb #60316,"Price: $0.50, Case  qty: 36, UPC: 643117603162<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,small tools & hardware,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
LED,publish,Keychain Light 3LED #35385 Gg,"Price: $0.50, Case  qty: 480, UPC: 643117353852<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,flashlights,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
LED12,publish,12LED Flashlight #34937,"Price: $3.00, Case  qty: 24, UPC: 643117349374<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.00,flashlights,3.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
LED24,publish,24 LED Worklight #91088,"Price: $3.00, Case  qty: 48, UPC: 643117910888<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $3.00,flashlights,3.00,visible,http://truforge.co/wp-content/uploads/2016/02/91088.jpg
LED243,publish,24+3 LED Work Light #34930    -Sp,"Price: $1.50, Case  qty: 48, UPC: 643117349305<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $1.50,flashlights,1.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
LED2P,publish,2pk LED All Purpose Light #98014-9,"Price: $2.00, Case  qty: 72, UPC: 643117980140<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $2.00,flashlights,2.00,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
LED3,publish,3 LED Light #28229-9,"Price: $0.50, Case  qty: 48, UPC: 643117282299<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,flashlights,0.50,visible,http://truforge.co/wp-content/uploads/2016/02/28229.jpg
LED7,publish,7LED Headlamp #29146,"Price: $1.50, Case  qty: 96, UPC: 643117291468<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $1.50,flashlights,1.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
LED9,publish,9 LED Light #25066,"Price: $0.85, Case  qty: 96, UPC: 643117250663<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.85,flashlights,0.85,visible,http://truforge.co/wp-content/uploads/2016/02/25066.jpg
LED9Y,publish,LED Bottle Opener Key Chain Flashlight,"Price: $0.50, Case  qty: 36, UPC: <br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,flashlights,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
LEDL,publish,USB LED Lamp #29607,"Price: $0.50, Case  qty: 72, UPC: 643117296074<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,flashlights,0.50,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
LEDS,publish,LED Clip-On Spot Light #25021,"Price: $0.50, Case  qty: 600, UPC: 643117250212<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.50,flashlights,0.50,visible,http://truforge.co/wp-content/uploads/2016/02/25021.jpg
LEDY,publish,Flashlight W/Magnifying Glass #35639,"Price: $0.45, Case  qty: 1200, UPC: 643117356396<br>For more information, always feel free to call us at (323) 585-9688 or visit our showroom at 5415 Maywood Ave, Maywood, CA 90270!",Price: $0.45,flashlights,0.45,visible,http://truforge.co/wp-content/uploads/2016/01/no-image-available.gif
